fragment,number_of_rel,sum_difficulty,avg_difficulty
c<-X>cC<=O>,422,327.98644200325526,0.7772190568797518
C<-O>CNCC,422,312.1380352648934,0.7396635906751029
cNC(C)C,421,329.54125438402406,0.7827583239525512
cc(n)CC,421,311.57987579595226,0.7400947168549935
cc[nH]c<=O>,421,285.06775657003516,0.677120561924074
cc<-C(=O)N>c,421,267.8673201331658,0.6362644183685648
c<-X>c-c,421,251.94812907829942,0.5984516130125876
CC[C@@H](C)N,420,296.89670285560834,0.7068969115609722
nccc[nH],420,252.84632177548454,0.6020150518463918
ccC<-O>C,419,356.951231341672,0.8519122466388352
Ncs,419,315.6420504877293,0.7533223161998313
ccc<-C#N>c,418,276.013231724057,0.6603187361819546
cc(N)nn,416,322.6676521858104,0.7756433946774289
CCCOC,416,313.9879333163414,0.7547786858565899
c-cs,416,311.32235129614054,0.7483710367695686
cncS,416,298.33402009531903,0.7171490867675938
c<-X>ccc-c,415,320.9437729432318,0.7733584890198357
c-cnn,413,377.8879538283039,0.9149829390515833
CccNC<=O>,413,283.2396311724231,0.6858102449695475
ccscC,412,329.5738277138844,0.7999364750336999
cc<-C(=O)O>c,412,304.6047790556529,0.7393319879991576
cccc<-CF3>c,412,275.43928049863285,0.6685419429578467
c<-OMe>cc(c)c,412,261.977813699738,0.6358684798537331
ccnCc,410,336.2300283445197,0.8200732398646823
cnc(-c)n,409,268.46415325522946,0.6563915727511723
