SMILES,pKa
N=C(N)c1c(F)cc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3CCCN32)cc1F,3.7
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@@H]3N2CCC3(F)F)cc1,2.0
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@H]3[C@H]3CC(F)(F)CN23)cc1,2.0
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)[C@H](C(F)F)[C@H]3[C@@H]3CCCN32)cc1,5.6
O=C(NCc1ccccc1)[C@H]1[C@@H](C(=O)O)[C@@H]2CCCN2[C@H]1c1ccc(Br)cc1,9.3
COc1ccc(CN2C(=O)[C@H]3[C@H]([C@@H]4CCCN4[C@H]3c3ccc(C(=N)N)cc3)[C@H]2C(C)C)cc1,6.3
CC(C)[C@@H]1[C@@H]2[C@H](C(=O)N1Cc1ccc(Cl)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21,6.2
COC1C=CC(CN2C(=O)[C@H]3C([C@@H]4CCCN4[C@H]3c3ccc(C#N)cc3)[C@H]2CC(F)F)=CC1,6.0
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)[C@H](CC(F)F)[C@H]3[C@@H]3CCCN32)cc1,6.0
O=C1[C@H]2[C@@H](C(=O)N1Cc1ccc(F)cc1)[C@@H]1C[C@@H](O)CN1[C@H]2c1ccc(Br)cc1,4.2
O=C1[C@H]2[C@@H](C(=O)N1Cc1ccc(F)cc1)[C@@H]1[C@@H](O)CCN1[C@H]2c1ccc(Br)cc1,4.2
N#Cc1ccc([C@H]2[C@H]3C(=O)N(CC4=CCC(F)C=C4)[C@](O)(C(F)(F)F)[C@H]3[C@@H]3CCCN32)cc1,5.5
COC1(OC)CCN2[C@H]1[C@@H]1C(=O)N(Cc3ccc(F)cc3)C(=O)[C@@H]1[C@@H]2c1ccc(C(=N)N)cc1,3.3
COC1(OC)C[C@@H]2[C@@H]3C(=O)N(Cc4ccc(F)cc4)C(=O)[C@@H]3[C@H](c3ccc(C(=N)N)cc3)N2C1,3.2
COc1ccc(CN2C(=O)[C@H]3C([C@@H]4CCCN4[C@H]3c3ccc(C#N)cc3)[C@@]2(O)C(F)(F)F)cc1,5.6
N=C(N)c1ccc([C@H]2[C@H]3C(=O)N(Cc4ccc(F)cc4)[C@](O)(C(F)(F)F)[C@H]3[C@@H]3CCCN32)cc1,5.5
CO[C@@]1(C(F)(F)F)[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21,5.2
CO[C@]1(C(F)(F)F)[C@@H]2[C@H](C(=O)N1Cc1ccc(F)cc1)[C@H](c1ccc(C(=N)N)cc1)N1CCC[C@@H]21,4.9
NC(Cc1ccccc1)C(=O)O,2.2
NC(Cc1ccc(O)cc1)C(=O)O,2.2
CC(N)(Cc1ccc(O)c(O)c1)C(=O)O,2.21
NC(Cc1ccc(O)c(O)c1)C(=O)O,2.21
NC(Cc1c[nH]c2ccccc12)C(=O)O,2.3
O=C(O)c1nc(Cl)ccc1Cl,2.32
CC(C)CC(N)C(=O)O,2.38
